TDF;Flower_strips;Buffer_strips;Hedges;Cover_crops;Extensive_grazing;Reduced_soil_pressure;No_mineral_fertilizer;Reduced_tillage;Legumes;Permanent_grassland;Agroforestry;Reduced_mowing;Rotational_fallow;No_pesticides;Biochar;Long_rotation
Responses;8;5;6;4;4;4;3;3;4;3;3;3;3;2;1;1
Skills;2;1,6;3;3,666666667;3,25;2,666666667;1,666666667;3,5;3,25;3;2,666666667;2,333333333;2;3;5;5
Knowledge;3,375;2,8;3,5;4,25;3,5;2,75;4;3,5;4;2;4,333333333;2,666666667;3;4;5;5
Financial_resources;4,5;1,6;4,833333333;2,75;3,75;3,75;3,333333333;1;2,5;3,5;4;2,666666667;3;5;3;3
Material_resources;1,375;1;2,5;1,5;1,75;5;1,666666667;2;2,333333333;1,5;2,666666667;0,666666667;1,666666667;2,5;5;4
Workforce_time;2,25;1,8;3;3,25;1,75;1;1;0,5;0,333333333;2;3,333333333;0,333333333;0,333333333;2,5;4;0
Legal_context;2,625;2,8;4,833333333;1,25;3,5;1,25;3,333333333;0,5;1,25;5;5;1,666666667;2,666666667;4,5;2;3
Biophysical_context;2,375;4,6;1,666666667;2,5;3,5;2;2,666666667;3;2,25;2;1,333333333;1;2,333333333;0;1;5
Farm_household_context;2,25;2,6;3,5;1,75;2;0,25;3;2,5;1,25;2,5;4;1;2,666666667;3;2;4
Peer_group_influence;2,8125;3,3;3,1;3;3,125;1,75;2,833333333;2,5;2,5;2,5;2,666666667;2,333333333;3;3,5;3;4
Socio_political_influence;3,642857143;3,9;2,583333333;3,25;3,125;1,5;2,833333333;2;2;2;3;1;2;3;1;3
Optimism_future_orientation;2,5;3,2;3,833333333;3,25;4,5;2,75;3,666666667;2,5;3;5;5;3,666666667;3,333333333;4,5;4;4
Environmental_beliefs;3,25;4,4;4;3,75;4;4,25;3,333333333;2;2,75;3;3,333333333;2,666666667;3;3,5;3;4
Identity;3,1875;3,5;3,75;4,25;3,125;4;2,166666667;3;2,5;3,5;4,333333333;2;3;3,5;4;5
Noneconomic_goals;3,8125;2,7;3,583333333;3,5;2,875;3,5;2,166666667;1,5;3,5;3,5;4;2,333333333;3;3;3;4
Economc_goals;2,3125;2,5;3,25;4,25;3,875;4,5;3,5;2,5;4;3,5;3,333333333;3,333333333;3;5;5;4
Emotions;3,642857143;2,1;3,916666667;3,5;3,875;3,5;3,166666667;3;3,5;3,5;4;1,666666667;2,333333333;3,5;4;4
Habits_routines;3,5;3,8;3,5;4;4,5;2,75;5;4;3,5;3,5;3,333333333;3,666666667;2;5;5;4
