Practice;Interview;Skills;Knowledge;Financial_resources;Material_resources;Workforce_time;Legal_context;Biophysical_context;Farm_household_context;Peer_group_influence;Socio_political_influence;Optimism_future_orientation;Environmental_beliefs;Identity;Noneconomic_goals;Economc_goals;Emotions;Habits_routines
Agroforestry;6;4;5;5;3;4;5;2;4;4;4;5;2;5;4;4;5;2
Agroforestry;10;3;4;5;2;5;5;1;4;1;0;5;4;4;5;3;3;5
Agroforestry;12;1;4;2;3;1;5;1;4;3;5;5;4;4;3;3;4;3
Buffer_strips;5;1;2;1;1;2;2;3;1;3;2;4;3;2;4;0;2;2
Buffer_strips;6;1;4;1;0;2;3;5;4;4;5;2;4;5;3;3;4;4
Buffer_strips;7;2;2;2;0;1;4;5;1;2;4;3;5;5;3;1;1;4
Buffer_strips;8;2;2;0;3;1;1;5;2;4;5;3;5;2;1;5;0;4
Buffer_strips;9;2;4;4;1;3;4;5;5;3,5;3,5;4;5;3,5;2,5;3,5;3,5;5
Biochar;1;5;5;3;5;4;2;1;2;3;1;4;3;4;3;5;4;5
Cover_crops;1;n/a;4;3;3;4;1;1;1;2;4;4;4;3;3;4;2;5
Cover_crops;3;4;5;3;2;3;2;4;2;3;2;3;3;4;4;3;4;4
Cover_crops;6;3;3;2;1;3;2;1;2;4;3;2;3;5;3;5;4;3
Cover_crops;7;4;5;3;0;3;0;4;2;3;4;4;5;5;4;5;4;4
Extensive_grazing;4;5;5;3;5;4;4;5;1;3;4;5;5;3;4;3;5;5
Extensive_grazing;8;2;2;2;1;1;2;4;1;4;4;5;4;4;4;4;5;3
Extensive_grazing;9;3;4;5;1;2;4;5;5;3,5;3,5;4;5;3,5;2,5;3,5;3,5;5
Extensive_grazing;11;3;3;5;0;0;4;0;1;2;1;4;2;2;1;5;2;5
Flower_strips;1;2;5;5;3;3;1;3;1;4;4;2;4;3;4;4;5;5
Flower_strips;2;1;1;4;2;1;1;0;0;0;n/a;0;4;3;4;0;n/a;1
Flower_strips;4;3;4;5;1;3;3;3;4;4;5;2;3;3;4;1;4;4
Flower_strips;5;1;4;4;2;2;4;4;2;4;3;3;2;3;5;0;4;2
Flower_strips;6;1;4;4;0;3;2;4;4;5;5;3;2;5;5;4;5;4
Flower_strips;9;2;4;4;1;3;4;5;5;3,5;3,5;4;5;3,5;2,5;3,5;3,5;5
Flower_strips;10;3;2;5;2;3;2;0;1;0;4;2;4;3;5;1;2;2
Flower_strips;11;3;3;5;0;0;4;0;1;2;1;4;2;2;1;5;2;5
Hedges;1;0;1;5;3;3;5;1;4;3;4;4;4;4;5;3;4;2
Hedges;4;4;4;5;2;2;5;1;3;n/a;3;4;4;4;4;2;4;4
Hedges;6;3;4;4;3;4;5;2;4;4;4;4;4;5;4;5;5;2
Hedges;9;5;5;5;5;4;5;5;5;3,5;3,5;3;5;3,5;2,5;3,5;3,5;5
Hedges;10;3;4;5;2;5;5;1;4;3;0;4;5;4;5;1;5;3
Hedges;11;3;3;5;0;0;4;0;1;2;1;4;2;2;1;5;2;5
Legumes;3;5;5;2;2;0;3;4;3;4;2;3;3;5;4;4;4;4
Legumes;4;3;5;5;3;0;0;0;1;1;1;3;3;1;5;5;3;4
Legumes;5;1;3;1;n/a;n/a;0;2;0;2;2;2;2;2;2;3;2;3
Legumes;12;4;3;2;2;1;2;3;1;3;3;4;3;2;3;4;5;3
Long_rotation;3;5;5;3;4;0;3;5;4;4;3;4;4;5;4;4;4;4
No_mineral_fertilizer;9;0;5;0;0;0;4;5;5;3,5;3,5;4;5;3,5;2,5;3,5;3,5;5
No_mineral_fertilizer;11;3;3;5;0;0;4;0;1;2;1;4;2;2;1;5;2;5
No_mineral_fertilizer;12;2;4;5;5;3;2;3;3;3;4;3;3;1;3;2;4;5
No_pesticides;10;3;5;5;5;5;5;0;5;5;5;5;5;5;5;5;5;5
No_pesticides;11;3;3;5;0;0;4;0;1;2;1;4;2;2;1;5;2;5
Reduced_tillage;2;4;4;n/a;n/a;1;0;2;0;0;0;1;2;;1;0;0;4
Reduced_tillage;4;2;3;0;1;1;0;1;1;1;2;2;0;2;0;3;2;4
Reduced_tillage;12;5;4;2;3;0;1;5;4;4;2;3;4;4;3;2;4;4
Permanent_grassland;8;3;2;2;1;2;5;4;1;3;4;5;3;4;4;5;5;2
Permanent_grassland;10;3;2;5;2;2;5;0;4;2;0;5;3;3;3;2;2;5
Permanent_grassland;11;3;3;5;0;0;4;0;1;2;1;4;2;2;1;5;2;5
Reduced_mowing;5;0;2;2;1;0;0;2;2;2;1;2;2;2;2;1;1;3
Reduced_mowing;8;4;3;1;1;1;1;1;0;3;1;5;4;2;4;4;2;3
Reduced_mowing;11;3;3;5;0;0;4;0;1;2;1;4;2;2;1;5;2;5
Reduced_soil_pressure;1;n/a;2;5;5;1;0;0;0;1;2;3;4;4;4;3;4;5
Reduced_soil_pressure;3;3;4;1;5;2;3;3;0;1;2;2;4;4;2;5;4;5
Reduced_soil_pressure;7;4;2;5;5;1;2;3;1;4;1;4;5;4;4;5;3;0
Reduced_soil_pressure;12;1;3;4;5;0;0;2;0;1;1;2;4;4;4;5;3;1
Rotational_fallow;3;3;3;2;4;0;3;4;5;4;3;4;4;5;5;3;3;1
Rotational_fallow;5;0;3;2;1;1;1;3;2;3;2;2;3;2;3;1;2;0
Rotational_fallow;11;3;3;5;0;0;4;0;1;2;1;4;2;2;1;5;2;5
